store_id,product_id,date,sales_quantity,is_promo
43,602,2018-05-13,0.0,1
38,2478,2017-08-20,0.0,0
135,174,2018-11-26,1.0,0
61,1247,2018-02-21,0.0,0
64,1704,2019-08-19,0.0,0
94,569,2017-12-19,0.0,0
4,476,2019-11-09,0.0,0
18,3620,2018-10-12,0.0,0
132,135,2019-03-13,0.0,0
124,3221,2019-02-28,0.0,0
130,865,2018-10-08,0.0,0
46,196,2018-09-15,0.0,0
124,966,2018-06-09,0.0,0
60,479,2019-05-13,0.0,0
1,2896,2018-09-04,1.0,0
51,3301,2017-07-24,0.0,0
85,1538,2019-11-30,0.0,0
46,2926,2019-03-14,0.0,0
19,46,2018-12-10,7.0,0
43,1364,2018-06-04,0.0,0
64,2712,2017-07-10,0.0,0
87,555,2017-11-14,0.0,0
131,2110,2017-04-10,0.0,0
102,2669,2017-05-28,0.0,1
115,3156,2017-05-30,0.0,0
7,2195,2019-09-21,0.0,0
84,294,2017-04-24,0.0,1
45,1426,2018-06-15,0.0,0
60,3219,2018-08-03,0.0,0
22,3031,2018-02-25,0.0,0
55,2684,2018-11-21,0.0,0
109,519,2017-05-23,0.0,0
124,454,2019-07-17,0.0,0
132,2801,2018-12-10,0.0,0
68,1143,2017-06-08,0.0,0
35,2326,2017-10-17,0.0,0
65,2085,2017-04-13,0.0,0
135,1506,2019-09-25,0.0,0
65,981,2018-07-14,0.0,0
111,515,2017-04-15,0.0,0
4,1046,2017-10-17,0.0,0
131,2462,2017-12-26,1.0,0
46,3256,2017-01-14,0.0,0
126,51,2017-11-18,0.0,0
60,3084,2019-02-27,0.0,0
130,1610,2019-09-15,0.0,0
124,878,2018-11-28,2.0,0
43,2105,2018-01-23,0.0,0
118,2233,2019-08-14,0.0,0
7,3537,2017-03-22,0.0,0
65,631,2019-03-04,0.0,0
9,2018,2018-03-16,0.0,0
4,30,2019-04-09,0.0,0
130,296,2019-04-03,0.0,0
35,1497,2019-06-30,0.0,0
55,1705,2017-12-18,0.0,0
135,1836,2019-02-17,0.0,0
60,989,2018-05-15,2.0,0
111,75,2018-10-21,0.0,0
102,2669,2019-10-23,0.0,0
64,436,2019-01-26,0.0,0
94,1652,2018-06-13,0.0,1
65,3342,2017-11-05,2.0,0
7,1228,2018-10-22,0.0,0
124,1646,2018-10-15,0.0,0
130,2302,2018-09-23,0.0,0
19,839,2018-05-02,0.0,0
18,3600,2017-09-02,0.0,0
124,408,2019-08-18,0.0,0
19,301,2019-03-10,1.0,0
84,694,2018-04-20,0.0,0
65,1939,2019-07-30,0.0,0
126,1170,2017-04-19,1.0,0
35,949,2019-01-18,0.0,0
102,3624,2019-02-04,0.0,1
53,3601,2018-09-10,1.0,0
109,3057,2017-02-05,3.0,0
130,2299,2019-09-28,0.0,0
65,1548,2019-10-21,0.0,0
131,2066,2018-06-26,0.0,0
61,1247,2017-11-22,0.0,0
115,2811,2019-05-11,0.0,1
53,591,2018-01-12,2.0,0
135,2097,2019-01-12,0.0,0
124,1700,2019-03-18,0.0,0
57,2604,2019-11-04,0.0,0
118,2926,2019-06-28,0.0,0
4,2553,2017-02-01,0.0,0
132,1917,2017-09-13,0.0,0
9,2377,2019-11-14,0.0,0
18,1296,2019-04-11,0.0,0
9,3217,2017-09-21,3.0,1
4,1340,2017-01-02,0.0,0
53,3450,2018-12-11,0.0,0
38,3322,2018-04-12,0.0,0
126,1231,2018-12-09,0.0,0
102,422,2018-12-13,0.0,0
68,646,2017-01-18,2.0,0
9,3377,2018-12-24,0.0,0
132,3529,2018-09-08,1.0,0
35,3122,2017-05-21,3.0,0
124,759,2019-01-21,2.0,1
135,2650,2019-08-26,1.0,1
58,346,2019-06-08,0.0,0
91,1062,2019-06-16,0.0,0
38,325,2018-06-17,0.0,0
131,2967,2017-11-26,0.0,1
135,2450,2018-12-30,1.0,1
55,2497,2018-11-15,0.0,0
107,478,2017-11-01,0.0,0
38,1867,2017-03-02,0.0,0
45,301,2019-08-04,1.0,0
60,837,2018-09-17,0.0,0
19,668,2018-10-15,1.0,1
4,3468,2017-05-20,0.0,0
55,87,2019-02-05,0.0,0
26,1729,2017-03-06,3.0,1
107,2405,2017-04-16,0.0,0
126,1172,2017-03-19,0.0,0
107,750,2017-12-01,0.0,0
118,3639,2017-05-20,0.0,0
46,2708,2017-12-09,0.0,0
4,529,2017-07-04,0.0,0
72,1916,2018-10-03,0.0,0
55,3208,2018-10-06,0.0,0
22,2486,2017-05-25,0.0,0
55,326,2018-07-01,0.0,0
46,2791,2019-07-28,0.0,0
135,3459,2019-11-30,0.0,1
19,3532,2017-11-04,0.0,0
102,2354,2017-07-13,0.0,0
9,2438,2019-08-30,0.0,0
51,21,2019-06-08,0.0,0
111,3126,2019-04-10,1.0,0
94,551,2019-06-26,0.0,0
4,2082,2019-10-11,0.0,0
131,952,2017-03-18,0.0,0
4,3007,2017-07-18,0.0,0
102,2042,2018-11-04,0.0,0
124,1555,2018-12-07,7.0,0
64,723,2017-12-16,0.0,0
7,683,2019-12-29,1.0,0
135,751,2018-09-18,1.0,0
22,366,2018-10-16,0.0,0
35,1179,2018-09-19,0.0,0
126,3101,2019-03-09,0.0,0
35,3271,2019-07-20,0.0,0
35,419,2017-04-09,0.0,0
135,1169,2017-03-29,0.0,0
1,1182,2017-09-16,0.0,0
60,1810,2017-11-21,0.0,0
19,2646,2019-08-10,0.0,0
38,2291,2018-06-20,0.0,0
9,3164,2017-01-26,0.0,0
109,3157,2018-02-05,0.0,0
94,2547,2017-11-18,1.0,0
35,1165,2019-07-07,0.0,0
115,3347,2019-10-08,0.0,0
94,898,2018-11-02,1.0,0
107,3282,2018-03-05,0.0,0
35,1619,2019-06-26,0.0,0
30,3469,2019-08-08,0.0,0
85,2693,2019-07-14,0.0,0
68,3637,2019-05-31,0.0,0
61,3617,2018-05-14,2.0,0
30,1566,2018-02-10,5.0,0
4,3604,2018-07-30,8.0,0
35,628,2019-12-20,0.0,1
4,2841,2018-06-03,0.0,0
72,2589,2018-10-29,0.0,0
124,3090,2017-07-26,0.0,1
53,3302,2018-04-16,13.0,0
109,2758,2018-02-08,0.0,0
109,3543,2017-03-01,0.0,0
132,2041,2017-08-09,0.0,0
26,945,2018-10-05,0.0,0
65,3329,2019-08-01,0.0,0
90,286,2019-03-02,1.0,0
58,2830,2019-05-19,0.0,0
111,929,2017-08-07,0.0,0
118,1878,2017-12-11,0.0,0
65,2502,2019-05-26,0.0,0
7,3330,2017-04-30,2.0,0
57,3369,2017-08-12,0.0,0
35,723,2017-03-12,0.0,0
18,3640,2018-09-19,0.0,0
102,3275,2018-05-05,1.0,0
111,2016,2018-05-26,0.0,0
30,3443,2019-12-09,0.0,0
60,3263,2017-12-03,0.0,0
135,3459,2019-02-23,0.0,0
19,1840,2019-04-09,0.0,0
87,3275,2017-12-02,0.0,0
22,987,2017-07-12,0.0,0
135,1856,2019-02-08,0.0,0
130,2282,2018-11-08,3.0,0
7,505,2018-07-09,0.0,0
64,3134,2018-08-31,2.0,0
120,497,2018-06-12,0.0,1
115,3195,2017-10-10,1.0,0
111,2489,2018-05-17,0.0,0
85,2128,2018-05-22,0.0,1
87,1866,2017-11-13,0.0,0
111,1428,2017-08-30,0.0,1
18,3044,2019-10-20,0.0,0
107,2258,2017-10-02,0.0,0
118,3398,2017-10-10,0.0,0
43,2426,2017-03-07,0.0,0
43,3030,2017-06-25,0.0,0
60,3062,2019-06-04,0.0,0
22,3545,2017-09-30,0.0,1
64,2541,2018-09-11,0.0,0
118,410,2018-02-25,1.0,0
124,362,2018-05-22,0.0,0
131,1265,2018-12-23,0.0,0
55,1627,2019-02-19,0.0,0
72,978,2017-05-13,0.0,1
55,2783,2019-10-24,0.0,1
19,626,2019-12-22,0.0,0
131,896,2018-09-30,0.0,0
9,3594,2017-10-06,0.0,0
91,1434,2017-04-14,1.0,0
35,1165,2017-09-25,0.0,1
72,1705,2017-10-06,0.0,0
45,829,2017-04-22,0.0,1
83,458,2017-05-10,0.0,0
118,560,2019-02-12,0.0,0
22,3514,2019-05-11,0.0,1
1,2747,2019-05-23,0.0,0
72,3375,2018-09-24,0.0,0
87,3269,2019-08-24,5.0,0
131,589,2018-03-26,0.0,0
35,881,2019-10-08,0.0,0
85,3604,2019-03-12,2.0,0
118,1853,2017-10-26,0.0,0
135,3251,2019-06-27,0.0,0
